,Graffiti Private Property,Graffiti Public Property,both
,[],[],[]
BAYVIEW,"[4, 27, 12, 11, 32, 72, 340, 947, 699, 575, 96, 663, 705, 831, 709, 540, 435, 310, 276, 109, 27, 43, 677]","[61, 23, 37, 32, 25, 58, 125, 239, 565, 845, 629, 134, 577, 523, 740, 677, 595, 405, 533, 294, 197, 112, 91, 647]","[65, 23, 64, 44, 36, 90, 197, 579, 1512, 1544, 1204, 230, 1240, 1228, 1571, 1386, 1135, 840, 843, 570, 306, 139, 134, 1324]"
CENTRAL,"[61, 60, 149, 24, 39, 75, 310, 895, 2579, 2261, 1896, 149, 1353, 1765, 1627, 1231, 868, 560, 414, 356, 370, 205, 160, 1418]","[223, 76, 48, 22, 69, 117, 283, 540, 1246, 1270, 1313, 818, 1136, 1395, 1386, 1214, 969, 695, 538, 523, 494, 378, 422, 1210]","[284, 136, 197, 46, 108, 192, 593, 1435, 3825, 3531, 3209, 967, 2489, 3160, 3013, 2445, 1837, 1255, 952, 879, 864, 583, 582, 2628]"
INGLESIDE,"[16, 39, 43, 18, 36, 69, 188, 428, 761, 755, 778, 20, 885, 924, 891, 913, 770, 612, 352, 276, 185, 106, 80, 912]","[100, 53, 73, 44, 81, 197, 326, 681, 851, 905, 977, 101, 1097, 1047, 1108, 1104, 1192, 1038, 881, 663, 535, 361, 245, 1086]","[116, 92, 116, 62, 117, 266, 514, 1109, 1612, 1660, 1755, 121, 1982, 1971, 1999, 2017, 1962, 1650, 1233, 939, 720, 467, 325, 1998]"
MISSION,"[83, 80, 130, 52, 114, 420, 1764, 3225, 4186, 3398, 2840, 128, 2593, 2857, 2604, 2342, 1967, 1508, 1067, 783, 651, 534, 262, 2669]","[67, 67, 107, 64, 232, 739, 2589, 4867, 4697, 3587, 2975, 394, 2533, 2888, 2483, 2856, 2430, 1796, 1238, 1003, 820, 548, 382, 2669]","[150, 147, 237, 116, 346, 1159, 4353, 8092, 8883, 6985, 5815, 522, 5126, 5745, 5087, 5198, 4397, 3304, 2305, 1786, 1471, 1082, 644, 5338]"
NORTHERN,"[30, 15, 98, 26, 27, 87, 341, 839, 1473, 1240, 1108, 41, 1238, 1452, 1155, 1162, 1019, 764, 490, 402, 311, 234, 114, 1199]","[65, 72, 74, 54, 152, 510, 923, 1478, 2331, 1858, 1683, 232, 1803, 2059, 2017, 3044, 2834, 1628, 1089, 1137, 1092, 819, 302, 1622]","[95, 87, 172, 80, 179, 597, 1264, 2317, 3804, 3098, 2791, 273, 3041, 3511, 3172, 4206, 3853, 2392, 1579, 1539, 1403, 1053, 416, 2821]"
PARK,"[4, 18, 26, 15, 16, 85, 233, 466, 770, 827, 685, 29, 768, 796, 853, 854, 762, 464, 261, 246, 241, 196, 60, 695]","[21, 33, 56, 68, 101, 559, 1015, 1787, 2151, 2140, 1976, 87, 2109, 2438, 3368, 4852, 3749, 1772, 1035, 837, 903, 764, 326, 1856]","[25, 51, 82, 83, 117, 644, 1248, 2253, 2921, 2967, 2661, 116, 2877, 3234, 4221, 5706, 4511, 2236, 1296, 1083, 1144, 960, 386, 2551]"
RICHMOND,"[17, 17, 23, 6, 16, 67, 144, 378, 556, 761, 763, 98, 629, 713, 819, 807, 703, 455, 326, 213, 201, 191, 131, 746]","[32, 18, 37, 15, 121, 432, 803, 1376, 1667, 1682, 1379, 124, 1077, 1519, 2150, 3265, 2822, 1397, 961, 686, 973, 662, 356, 1039]","[49, 35, 60, 21, 137, 499, 947, 1754, 2223, 2443, 2142, 222, 1706, 2232, 2969, 4072, 3525, 1852, 1287, 899, 1174, 853, 487, 1785]"
SOUTHERN,"[29, 17, 96, 18, 45, 102, 359, 763, 1222, 1251, 1578, 51, 1385, 1243, 919, 843, 679, 470, 402, 259, 242, 179, 116, 1437]","[19, 52, 66, 42, 85, 155, 279, 425, 487, 606, 1065, 75, 982, 795, 622, 732, 549, 406, 265, 253, 210, 174, 58, 974]","[48, 69, 162, 60, 130, 257, 638, 1188, 1709, 1857, 2643, 126, 2367, 2038, 1541, 1575, 1228, 876, 667, 512, 452, 353, 174, 2411]"
TARAVAL,"[14, 13, 8, 5, 15, 52, 179, 435, 496, 556, 628, 45, 728, 752, 652, 618, 540, 481, 319, 218, 144, 70, 36, 678]","[44, 25, 17, 23, 88, 145, 332, 729, 830, 779, 842, 50, 796, 1053, 1160, 1372, 1088, 931, 817, 522, 372, 160, 85, 671]","[58, 38, 25, 28, 103, 197, 511, 1164, 1326, 1335, 1470, 95, 1524, 1805, 1812, 1990, 1628, 1412, 1136, 740, 516, 230, 121, 1349]"
TENDERLOIN,"[16, 9, 138, 14, 19, 24, 68, 238, 371, 424, 759, 12, 791, 561, 384, 354, 304, 171, 119, 52, 51, 52, 23, 775]","[11, 8, 30, 12, 56, 104, 120, 144, 249, 338, 809, 45, 877, 829, 408, 514, 387, 224, 167, 102, 105, 67, 48, 891]","[27, 17, 168, 26, 75, 128, 188, 382, 620, 762, 1568, 57, 1668, 1390, 792, 868, 691, 395, 286, 154, 156, 119, 71, 1666]"
